card_id,account_id,card_type,expiration_date
CRD9DMMMTJDQT3V,ACC32AXBRYBVYAR,Debit,2032-02-07
CRD94590WYP462W,ACC2WKDTIPM83SK,Credit,2030-03-14
CRDB79THXNR6SGQ,ACCPZTJ2AUNVBRX,Credit,2026-12-17
CRDG81QQ58532B9,ACCV78E7JOA2O54,Debit,2029-10-21
CRD7RTUV3VVPJ60,ACCS8PHD7QLVC4L,Credit,2028-02-05
CRDV7L5SGAX2NFN,ACCRTI0QB8SGMN7,Debit,2029-01-17
CRDBB3GBBY3NO24,ACC21DY2JK3VXZM,Credit,2027-06-08
CRDG47ST4S3TPWT,ACCPX62AB27CICC,Credit,2030-01-22
CRDLNUHITN6T0NH,ACCQJ5QJXSLNR83,Debit,2030-11-05
CRDZIWYPTVT8SQQ,ACC4CRGBNY9WQTQ,Debit,2028-03-11
CRDWCZVIQTBMEL0,ACCQXERKPM88XVJ,Debit,2025-09-29
CRDM17TP1ZPX7SU,ACCTUQ7NOGCY4T5,Debit,2030-05-30
CRDORH8XZKG0YC8,ACC8C3RHZSL13FT,Credit,2029-02-14
CRDLJK8SM9MAEGX,ACCRE9O4Q9B802G,Credit,2027-01-13
CRDIHUBOZLF74C6,ACCZ8VW6Z4XDMP2,Credit,2030-03-15
CRDYO5B89I7CR9C,ACCWV5VPX5UWQ5O,Credit,2028-06-29
CRD49VF5THJPEO7,ACCV4X2ZMF54C6P,Credit,2029-04-27
CRD0CIPC3RJ1N1J,ACCX5882VDOMC94,Credit,2026-03-25
CRD4QXHWC2NO5U7,ACCNC98PNDSVMHY,Debit,2030-01-17
CRDF8AAYJQQVQ0F,ACCJ06RV2PGH993,Debit,2027-04-21
CRDGXGFKMUGPYJ1,ACCAWJPD5IFBKV1,Debit,2031-06-04
CRD53U15SD4H5N5,ACCW4SJT7MV7MRJ,Credit,2029-09-30
CRDWP54GBMDYK5D,ACCKR5K66VVY5NY,Credit,2029-05-22
CRDPRCF9RVIR843,ACCNT6XV3FGWRTR,Credit,2025-10-10
CRDIZI2FLBGAZ3T,ACCXHPEWKNVVICK,Credit,2031-12-22
CRDLCAYYI56OUNU,ACCEEEWHRN2N687,Debit,2032-02-04
CRDYLA9GVWGNRQH,ACCT8S5O8SBKYR5,Debit,2029-09-25
CRD7Y1Y6V26YBDG,ACCACUY7YQ9124E,Credit,2027-07-22
CRD5RPE9VRP8ELX,ACC1WBKR7HJULM0,Credit,2032-01-13
CRD90QLML0YITTZ,ACCJLE0NZMS50RO,Credit,2032-05-03
CRDH6TBYNNUQFGU,ACCID40KXF4N0H7,Credit,2029-09-12
CRDH2TPIM2QKQM5,ACCY03HO24RO972,Debit,2025-05-10
CRDOO6S3WRAKHY8,ACCPD8Z3B6QV769,Credit,2029-01-21
CRD2V04844W8JHD,ACCFR643JOQDV82,Debit,2026-08-20
CRDUDHP50UW0EZN,ACCT1UWUQH6CXM3,Debit,2027-10-19
CRD2Z6BVFUYE598,ACCVM2AU0KPJTWH,Credit,2031-03-23
CRDXO88UG10T3KM,ACCAOGC2QATC6AB,Debit,2031-02-19
CRDDLW878POO5EO,ACCS42JLX2TASLP,Debit,2026-05-18
CRDGUA8BNHFD0KG,ACCREML0JXIJMCY,Credit,2029-09-02
CRD46G8DCHE4ZDA,ACC2JOE96QR2CGS,Credit,2031-07-24
CRDRTYUGKDU2TBD,ACCLZ7K2A6DHO1W,Credit,2031-12-25
CRDMD7AWIC48EM9,ACCS8FNRWMW5754,Credit,2030-07-13
CRDUGSQF31K0JUS,ACC4CE6HNCGFIYV,Credit,2030-07-04
CRD2XE7P9D9JU33,ACCZDVJ6394KYG4,Credit,2030-03-25
CRDL9H6WR0EQTK6,ACCXGP1W3ADGO47,Credit,2032-08-19
CRDYTQQOPP8FQ2V,ACC35RV2QEPHNDH,Credit,2028-01-14
CRDDW5INO0WHBH4,ACC7G87QIO5WVM9,Credit,2025-07-17
CRDSLTQS2NKM63T,ACCR7Z3XI9OY1V3,Credit,2031-05-21
CRDJKAQYW8D2KHQ,ACCOKNB5IZ9J3LG,Debit,2025-01-07
CRDH8W8QDZR51A0,ACCG58YY1TWO8RP,Debit,2025-09-09
CRDZ7FZVFL0BDS2,ACCBK21WPDTTKTW,Credit,2031-01-28
CRD6HUSS3TR26K3,ACCH34TNNPQEWBM,Debit,2029-07-19
CRD00F10HSFV9AU,ACCV3VJHZOS1UUV,Credit,2031-04-06
CRD3ZCEWNYQEN87,ACC3P9UMEYQ92P5,Debit,2031-01-11
CRD3G08L9JEO2YO,ACCEOEPAW0JQ8SW,Debit,2025-11-10
CRDMRTQ8SU48V8L,ACCJ68U2QXV02JL,Credit,2032-01-24
CRD60N406S4ITW6,ACC9MMY8W9D7NQM,Credit,2028-12-01
CRDFWLRVFUCWCPH,ACC0UE9WCDUVTW2,Credit,2030-01-04
CRDQW29AIFARF8Q,ACCEJLQ54IJP1ZI,Debit,2032-12-10
CRDM8DT5OFKZVTQ,ACCI0VVQYOKYEUJ,Credit,2028-06-28
CRDYRKUW5SY53CA,ACC5HSCHFBRWIVE,Credit,2027-07-13
CRD8AFOD9TVYDYJ,ACCAF1OKPP89GQ9,Credit,2028-04-07
CRDLX0DATKTQHOC,ACCN80T79GVLFVL,Credit,2026-11-09
CRDTOLPETQ3YSML,ACCB69KSM40OYHA,Debit,2026-08-04
CRDNRJ5ALZ658TN,ACC013HSWS4RMKO,Debit,2025-07-09
CRD06BYBSVK5S9Q,ACCYA1QKDCSH1NW,Credit,2027-07-07
CRDGFQG3EHZ0SEH,ACC9M4I2EK6364P,Credit,2028-10-29
CRD2GM09OWB39L0,ACCS5R0TCI1UI6X,Debit,2032-02-11
CRDW8K2GEJFXFDC,ACC11CMN41I9MRJ,Credit,2030-11-29
